author_id,affiliation_id
A0112,AFF0008
A0113,AFF0001
A0113,AFF0029
A0113,AFF0012
A0113,AFF0001
A0113,AFF0029
A0113,AFF0029
A0114,AFF0001
A0114,AFF0029
A0114,AFF0012
A0114,AFF0001
A0114,AFF0029
A0114,AFF0029
A0115,AFF0001
A0115,AFF0029
A0115,AFF0012
A0115,AFF0001
A0115,AFF0029
A0115,AFF0029
A0116,AFF0001
A0116,AFF0029
A0116,AFF0012
A0116,AFF0001
A0116,AFF0029
A0116,AFF0029
A0117,AFF0001
A0117,AFF0029
A0117,AFF0012
A0117,AFF0001
A0117,AFF0029
A0117,AFF0029
A0118,AFF0001
A0118,AFF0029
A0118,AFF0012
A0118,AFF0001
A0118,AFF0029
A0118,AFF0029
A0105,AFF0009
A0105,AFF0009
A0105,AFF0008
A0036,AFF0009
A0036,AFF0009
A0036,AFF0008
A0106,AFF0009
A0106,AFF0009
A0106,AFF0008
A0119,AFF0008
